name,description,topics,language,startDate,lastContribution,lifespan,numStars,numSubscribers,numForks,numContributors,numAuthenticatedContributors,numAnonymousContributors,numNotAuthenticatedContributors,numOneTimeContributors,numAuthenticatedOneTimeContributors,numCoreContributors,contributors,authenticatedContributors,coreContributors,numCommits,numOpenIssues,numClosedIssues,numOpenPullRequests,numClosedPullRequests,numMergedPullRequests,SDG
openfarmcc/OpenFarm,A free and open database for farming and gardening knowledge. You can grow anything!,"'farming', 'gardening', 'open-source', 'plants', 'rails'",Ruby,2013-10-27T04:46:37Z,2024-07-14T09:41:37Z,3913,1551,64,238,63,52,11,11,20,14,3,"('simonv3', 1116), ('RickCarlino', 701), ('dependabotbot', 205), ('warpling', 170), ('dependabot-previewbot', 161), ('CloCkWeRX', 120), ('TanSA05', 94), ('roryaronson', 88), ('Br3nda', 64), ('TheChirpyWitch', 25), ('broder', 14), ('gabrielburnworth', 12), ('RaceFPV', 11), ('kelcecil', 10), ('md5', 10), ('speizerj', 9), ('digital-dreamer', 9), ('guitsaru', 8), ('nickedwards109', 7), ('Anonymous', 7), ('Cynaria', 6), ('Anonymous', 6), ('Anonymous', 6), ('roselynemakena', 6), ('code-factor', 5), ('pnob32', 5), ('mo22de', 5), ('cpursley', 4), ('Katy310', 4), ('rickr', 4), ('robbrit', 4), ('sigu', 3), ('Vincentdc94', 3), ('sophiakc', 3), ('ignaciots', 3), ('dedesite', 2), ('dnephin', 2), ('davidomullan', 2), ('jakewins', 2), ('Anonymous', 2), ('jeffcore', 2), ('Anonymous', 2), ('rjmccluskey', 2), ('mftaff', 1), ('Anonymous', 1), ('mstenta', 1), ('piamancini', 1), ('Anonymous', 1), ('Anonymous', 1), ('Anonymous', 1), ('anyangocynthia', 1), ('Anonymous', 1), ('jmks', 1), ('maticbasle', 1), ('joshlemer', 1), ('ImgBotApp', 1), ('gargi-gupta', 1), ('Rinbadagin', 1), ('DavidMGross', 1), ('bitdeli-chef', 1), ('Anonymous', 1), ('jumbosushi', 1), ('erisfully', 1)","('simonv3', 1116), ('RickCarlino', 701), ('dependabotbot', 205), ('warpling', 170), ('dependabot-previewbot', 161), ('CloCkWeRX', 120), ('TanSA05', 94), ('roryaronson', 88), ('Br3nda', 64), ('TheChirpyWitch', 25), ('broder', 14), ('gabrielburnworth', 12), ('RaceFPV', 11), ('kelcecil', 10), ('md5', 10), ('speizerj', 9), ('digital-dreamer', 9), ('guitsaru', 8), ('nickedwards109', 7), ('Cynaria', 6), ('roselynemakena', 6), ('code-factor', 5), ('pnob32', 5), ('mo22de', 5), ('cpursley', 4), ('Katy310', 4), ('rickr', 4), ('robbrit', 4), ('sigu', 3), ('Vincentdc94', 3), ('sophiakc', 3), ('ignaciots', 3), ('dedesite', 2), ('dnephin', 2), ('davidomullan', 2), ('jakewins', 2), ('jeffcore', 2), ('rjmccluskey', 2), ('mftaff', 1), ('mstenta', 1), ('piamancini', 1), ('anyangocynthia', 1), ('jmks', 1), ('maticbasle', 1), ('joshlemer', 1), ('ImgBotApp', 1), ('gargi-gupta', 1), ('Rinbadagin', 1), ('DavidMGross', 1), ('bitdeli-chef', 1), ('jumbosushi', 1), ('erisfully', 1)","('simonv3', 1116), ('RickCarlino', 701), ('warpling', 170)",2944,133,1419,11,984,11,"[9, 'Industry, Innovation and Infrastructure']"
openfoodfacts/openfoodfacts-androidapp,Native version of Open Food Facts on Android - Coders & Decoders welcome 🤳🥫 ,"'android', 'crowdsourcing', 'environment', 'food', 'gsoc', 'hacktoberfest', 'java', 'kotlin', 'kotlin-android', 'nutrition', 'openfoodfacts'",Kotlin,2015-05-06T18:09:55Z,2024-08-26T09:19:50Z,3399,765,37,445,147,128,19,19,56,47,2,"('teolemon', 5640), ('VaiTon', 931), ('dependabotbot', 387), ('itchix', 206), ('herau', 153), ('deniger', 140), ('huzaifaiftikhar', 85), ('PrajwalM2212', 62), ('naivekook', 55), ('Anonymous', 51), ('dobriseb', 46), ('philippeauriach', 45), ('kartikaysharma01', 44), ('g123k', 40), ('ripetrescu', 40), ('subhanjansaha', 35), ('jaindiv26', 34), ('mustaqmustu', 33), ('Karljoones', 32), ('Shubham-vish', 28), ('github-actionsbot', 26), ('ross-holloway94', 26), ('mrudultora', 24), ('jaztriumph', 24), ('Anonymous', 23), ('dependabot-previewbot', 23), ('balaji-ramavathu', 22), ('brandenfung', 22), ('raphael0202', 19), ('Anonymous', 16), ('RajaVamsi11', 13), ('iml-v', 12), ('samagra14', 12), ('prashantkh19', 12), ('shivanshsoni', 11), ('Arshilgenius', 10), ('Anonymous', 10), ('hangy', 10), ('ManognaMutyala', 10), ('pareichlin', 10), ('ManavPoddar', 9), ('KarthikRIyer', 8), ('Anonymous', 8), ('pratyaksh1610', 7), ('vanshikaarora', 7), ('Anonymous', 7), ('jinqian', 7), ('R4md4c', 7), ('ChasakisD', 6), ('harshlele', 6), ('Marinolino', 6), ('NasiaKouts', 6), ('SaumiaSinghal', 6), ('Varsha-29', 6), ('blmage', 6), ('sachincool', 5), ('Anonymous', 5), ('naofum', 5), ('sarah541', 5), ('crowdin-bot', 5), ('Farbklex', 5), ('Abhisek2090', 4), ('Rutvikmodi', 4), ('Shritesh99', 4), ('mcarare', 4), ('sowmya9029', 3), ('LuGO0', 3), ('Anonymous', 3), ('danzzen', 3), ('HummingBrid', 3), ('FlorentRousselle', 3), ('amanjeetsingh150', 3), ('PO15ON', 3), ('devansh-299', 2), ('Anonymous', 2), ('krystelnguyen', 2), ('vaishali51', 2), ('Anonymous', 2), ('mohsin', 2), ('paulocoe', 2), ('nishkarsh800', 2), ('MohamedHefny', 2), ('dmdbilal', 2), ('etcadinfinitum', 2), ('cliffgr', 2), ('gspitz01', 2), ('Gbossard', 2), ('elouataoui', 2), ('diskostu', 2), ('kant', 2), ('chris-hatton', 2), ('Anonymous', 1), ('fogleins', 1), ('Anonymous', 1), ('EasyVector', 1), ('Steinhagen', 1), ('varunvjha', 1), ('utkarsh006', 1), ('Anonymous', 1), ('scastrec', 1), ('shiv07tiwari', 1), ('AbsolutelySaurabh', 1), ('SatyamBansal', 1), ('santansarah', 1), ('Anonymous', 1), ('Anonymous', 1), ('loominade', 1), ('machiav3lli', 1), ('memms', 1), ('oricdev', 1), ('Anonymous', 1), ('pranav0281999', 1), ('doomers', 1), ('raychenon', 1), ('salfai', 1), ('sashabrava', 1), ('schokotets', 1), ('shushilkumarr', 1), ('tjwhm', 1), ('aeramli', 1), ('adamfils', 1), ('anguye13', 1), ('AntonisFaros', 1), ('Bartoshr', 1), ('JohnAZoidberg', 1), ('Anonymous', 1), ('friedger', 1), ('geocohn', 1), ('galemu2', 1), ('gregbnr', 1), ('Jantzilla', 1), ('khaledosama007', 1), ('licaon-kter', 1), ('hairy-tortoise', 1), ('mehroshmmm', 1), ('mostafa07', 1), ('yukiisbored', 1), ('Anonymous', 1), ('Cypresslin', 1), ('Anonymous', 1), ('WildOrangutan', 1), ('Poussinou', 1), ('codetriage-readme-bot', 1), ('rohap97', 1), ('rahul-jha98', 1), ('RelappsStudio', 1), ('roychowdhuryrohit-dev', 1)","('teolemon', 5640), ('VaiTon', 931), ('dependabotbot', 387), ('itchix', 206), ('herau', 153), ('deniger', 140), ('huzaifaiftikhar', 85), ('PrajwalM2212', 62), ('naivekook', 55), ('dobriseb', 46), ('philippeauriach', 45), ('kartikaysharma01', 44), ('g123k', 40), ('ripetrescu', 40), ('subhanjansaha', 35), ('jaindiv26', 34), ('mustaqmustu', 33), ('Karljoones', 32), ('Shubham-vish', 28), ('github-actionsbot', 26), ('ross-holloway94', 26), ('mrudultora', 24), ('jaztriumph', 24), ('dependabot-previewbot', 23), ('balaji-ramavathu', 22), ('brandenfung', 22), ('raphael0202', 19), ('RajaVamsi11', 13), ('iml-v', 12), ('samagra14', 12), ('prashantkh19', 12), ('shivanshsoni', 11), ('Arshilgenius', 10), ('hangy', 10), ('ManognaMutyala', 10), ('pareichlin', 10), ('ManavPoddar', 9), ('KarthikRIyer', 8), ('pratyaksh1610', 7), ('vanshikaarora', 7), ('jinqian', 7), ('R4md4c', 7), ('ChasakisD', 6), ('harshlele', 6), ('Marinolino', 6), ('NasiaKouts', 6), ('SaumiaSinghal', 6), ('Varsha-29', 6), ('blmage', 6), ('sachincool', 5), ('naofum', 5), ('sarah541', 5), ('crowdin-bot', 5), ('Farbklex', 5), ('Abhisek2090', 4), ('Rutvikmodi', 4), ('Shritesh99', 4), ('mcarare', 4), ('sowmya9029', 3), ('LuGO0', 3), ('danzzen', 3), ('HummingBrid', 3), ('FlorentRousselle', 3), ('amanjeetsingh150', 3), ('PO15ON', 3), ('devansh-299', 2), ('krystelnguyen', 2), ('vaishali51', 2), ('mohsin', 2), ('paulocoe', 2), ('nishkarsh800', 2), ('MohamedHefny', 2), ('dmdbilal', 2), ('etcadinfinitum', 2), ('cliffgr', 2), ('gspitz01', 2), ('Gbossard', 2), ('elouataoui', 2), ('diskostu', 2), ('kant', 2), ('chris-hatton', 2), ('fogleins', 1), ('EasyVector', 1), ('Steinhagen', 1), ('varunvjha', 1), ('utkarsh006', 1), ('scastrec', 1), ('shiv07tiwari', 1), ('AbsolutelySaurabh', 1), ('SatyamBansal', 1), ('santansarah', 1), ('loominade', 1), ('machiav3lli', 1), ('memms', 1), ('oricdev', 1), ('pranav0281999', 1), ('doomers', 1), ('raychenon', 1), ('salfai', 1), ('sashabrava', 1), ('schokotets', 1), ('shushilkumarr', 1), ('tjwhm', 1), ('aeramli', 1), ('adamfils', 1), ('anguye13', 1), ('AntonisFaros', 1), ('Bartoshr', 1), ('JohnAZoidberg', 1), ('friedger', 1), ('geocohn', 1), ('galemu2', 1), ('gregbnr', 1), ('Jantzilla', 1), ('khaledosama007', 1), ('licaon-kter', 1), ('hairy-tortoise', 1), ('mehroshmmm', 1), ('mostafa07', 1), ('yukiisbored', 1), ('Cypresslin', 1), ('WildOrangutan', 1), ('Poussinou', 1), ('codetriage-readme-bot', 1), ('rohap97', 1), ('rahul-jha98', 1), ('RelappsStudio', 1), ('roychowdhuryrohit-dev', 1)","('teolemon', 5640), ('VaiTon', 931)",8686,388,4834,45,2763,45,"[12, 'Responsible Consumption and Production']"
electricitymaps/electricitymaps-contrib,A real-time visualisation of the CO2 emissions of electricity consumption,"'climate-change', 'data-visualization', 'hacktoberfest', 'sustainability'",Python,2016-05-21T16:36:17Z,2024-08-28T22:52:50Z,3021,3450,78,921,382,358,24,24,195,186,2,"('corradio', 1760), ('VIKTORVAV99', 416), ('dependabotbot', 297), ('madsnedergaard', 213), ('systemcatch', 154), ('tonypls', 143), ('unitrium', 121), ('Anonymous', 119), ('pierresegonne', 113), ('electricitymapsbot', 99), ('alixunderplatz', 83), ('nessie2013', 71), ('FelixDQ', 68), ('fbarl', 67), ('maxbellec', 60), ('tmrow-bot', 57), ('skovhus', 56), ('magol', 54), ('Anonymous', 53), ('brunolajoie', 52), ('jarek', 52), ('q--', 49), ('Raffox97', 45), ('BLACKLEG', 42), ('KabelWlan', 42), ('silkeholmebonnen', 41), ('jkopb', 36), ('Anonymous', 36), ('lorrieq', 28), ('ovbm', 28), ('veqtrus', 28), ('Anonymous', 24), ('amv213', 23), ('Anonymous', 23), ('silimotion', 17), ('wobniarin', 16), ('kruschk', 15), ('PaulCornelissen', 15), ('robertahunt', 15), ('brandongalbraith', 14), ('ThierryOllivero', 13), ('pnook', 13), ('yuvalabou', 13), ('phiphou', 13), ('Manu1400', 13), ('shuuji3', 12), ('tmslaine', 12), ('wojciej', 12), ('yujia21', 12), ('florianscheidl', 12), ('Musketeiro', 10), ('ajoga', 10), ('PPsyrius', 10), ('msaynevirta', 10), ('wrma6', 10), ('Bohne13', 10), ('IV1T3', 9), ('Fred-3000', 9), ('Gazer75', 9), ('qyearsley', 9), ('willbeaufoy', 9), ('martindaniel4', 8), ('Anonymous', 8), ('gianantoniopini', 8), ('Anonymous', 7), ('denplis', 7), ('steren', 7), ('Kongkille', 6), ('tth4vb', 6), ('MuffinCompiler', 6), ('Macquaria', 6), ('scriptator', 6), ('Ugzuzg', 6), ('dougfabris', 6), ('Anonymous', 6), ('martincollignon', 5), ('haraldgroven', 5), ('lav-julien', 5), ('igorarduin', 5), ('drc38', 5), ('autipial', 5), ('saurabhchatterjee23', 5), ('RolandSzep', 5), ('alexanmtz', 5), ('gwpicard', 5), ('Liang', 5), ('JosepRey', 5), ('hboisgibault', 4), ('snarfed', 4), ('xomanuel', 4), ('pascalheraud', 4), ('Varmin123', 4), ('Anonymous', 4), ('Ankitchaudharyy', 4), ('byronwilliams', 4), ('con-cat', 4), ('felixvanoost', 4), ('JeanBaptisteScellier', 4), ('mikkelrev22', 4), ('MariusKroon', 4), ('scarlac', 4), ('oskarhinc', 4), ('PETILLON-Sebastien', 4), ('7hibault', 3), ('lgrigoryeva1', 3), ('neilfulwiler', 3), ('nboswell216', 3), ('Anonymous', 3), ('simon04', 3), ('typicalTYLER', 3), ('chiefymuc', 3), ('ewoken', 3), ('comready', 3), ('CeleminHero', 3), ('piotrek124-1', 3), ('Anonymous', 3), ('AlexandreCouderc', 3), ('anirudh-ramesh', 3), ('kant', 3), ('dhilbig', 3), ('filipc', 3), ('MisterClean', 3), ('cieciurm', 3), ('Anonymous', 3), ('mlucchini', 3), ('gugacavalieri', 3), ('jayaddison', 3), ('IanvsPoplicola', 3), ('khumam', 3), ('r24mille', 2), ('Rodeobe', 2), ('hybridcattt', 2), ('icfly2', 2), ('RGarrido03', 2), ('sahitya-pavurala', 2), ('seba1337', 2), ('BStephenBB', 2), ('Subarna578', 2), ('SunweiWang', 2), ('thtomate', 2), ('clawfire', 2), ('zuron7', 2), ('waltonzt', 2), ('admetny', 2), ('Anonymous', 2), ('chuqtas', 2), ('Anonymous', 2), ('gadakast', 2), ('luuu-xu', 2), ('martynas-sm', 2), ('peterpoetzi', 2), ('nikkozzblu', 2), ('scottlee120', 2), ('Anonymous', 2), ('tobiasseidel', 2), ('ymin2570', 2), ('stefanb', 2), ('rolanddosa', 2), ('amkozlov', 2), ('annaib00', 2), ('BrianCraig', 2), ('wsxqaza12', 2), ('gnzng', 2), ('DavidKarlas', 2), ('EricSmekens', 2), ('steinwinde', 2), ('GitMatze', 2), ('hisa-shimoji', 2), ('IgorYbema', 2), ('Barissa-Imran', 2), ('Chopinsky', 2), ('jamesg-the-dev', 2), ('PatriciaGolianova', 2), ('peterhughgriffin', 2), ('ilfrich', 2), ('pjakobsen', 2), ('Impelon', 2), ('AlisCode', 2), ('nikBeier', 2), ('nicolasca', 2), ('meiyiniu', 2), ('Maverick78de', 2), ('sin', 2), ('mzaharie', 2), ('Kazz47', 2), ('Spydarlee', 2), ('jasonblais', 2), ('ShahneRodgers', 1), ('sebastianlay', 1), ('sdague', 1), ('Anonymous', 1), ('SaumyaBhushan', 1), ('superlopuh', 1), ('SNPerkin', 1), ('samotion2', 1), ('RobertH-prog', 1), ('ric2b', 1), ('onmax', 1), ('Situphen', 1), ('Spanni26', 1), ('daiste', 1), ('tasinttttttt', 1), ('Teniola-theDev', 1), ('phanthe1', 1), ('ThomasF34', 1), ('tomi44g', 1), ('Dh0th', 1), ('timtroendle', 1), ('DerTimonius', 1), ('Vaikevimbu', 1), ('keaston', 1), ('nathantau', 1), ('nickvallee', 1), ('nickwohnhas', 1), ('Nico1320', 1), ('Nil-Cipher', 1), ('Ogaday', 1), ('OlgaCh', 1), ('Kineolyan', 1), ('Rprojet', 1), ('Anonymous', 1), ('olivierSemet', 1), ('oscarmrom', 1), ('paulstrobel', 1), ('MindFreeze', 1), ('Anonymous', 1), ('petrpulc', 1), ('phillipnunes', 1), ('kepiej', 1), ('r-petes', 1), ('rbossler', 1), ('Anonymous', 1), ('dinossaur23', 1), ('rasmusjeppsen', 1), ('reuvab', 1), ('Anonymous', 1), ('lesspointless', 1), ('lin0110', 1), ('marciska', 1), ('marcodeanda', 1), ('mfecco', 1), ('mickm', 1), ('mmcgarr', 1), ('mrSeoD', 1), ('mueslo', 1), ('MuneerahAsqah', 1), ('mutantmonkey', 1), ('hoanglongtran', 1), ('niky8804', 1), ('nilsernst', 1), ('omahs', 1), ('purplepaste5', 1), ('qalbun-salim', 1), ('smyru', 1), ('tjperr', 1), ('ttmx', 1), ('xiaotia3', 1), ('yeongseokyun', 1), ('TjasaZil', 1), ('UglySoftware', 1), ('vestronv', 1), ('tgy', 1), ('vamsi963601', 1), ('veronicaguo', 1), ('victormachadogp', 1), ('vladimirmak02', 1), ('liuyifei17', 1), ('ZhipengXue97', 1), ('andiz2', 1), ('calucido', 1), ('Anonymous', 1), ('charwebb', 1), ('daniel-callejas-sevilla', 1), ('darryl-revok', 1), ('dogversioning', 1), ('dpkruczek', 1), ('eitreb', 1), ('el97', 1), ('eoinbutler', 1), ('hms5232', 1), ('intermittentnrg', 1), ('j-jayes', 1), ('jhertel', 1), ('joppiesaus', 1), ('vakili', 1), ('danijelst', 1), ('Darkvyl', 1), ('davidcole1340', 1), ('DeOldSax', 1), ('TheClearSky', 1), ('kommen', 1), ('metakermit', 1), ('E1Cattivo', 1), ('Raader', 1), ('steppefox', 1), ('elisezhg', 1), ('PmplCode', 1), ('emmanuel-ferdman', 1), ('Anonymous', 1), ('consideRatio', 1), ('Fastaxx', 1), ('fokion', 1), ('Frantisek12', 1), ('jumpout-boiz', 1), ('gapple', 1), ('GeoffreyFrogeye', 1), ('gianpispi', 1), ('gdrosos', 1), ('gopikrishna1793', 1), ('aemartinez', 1), ('aelbozie', 1), ('albertopasqualetto', 1), ('Bostwickenator', 1), ('Alportan', 1), ('masquel', 1), ('devmount', 1), ('AndBerna', 1), ('AntoineMurat', 1), ('aekrylov', 1), ('AyrtonB', 1), ('Anonymous', 1), ('BobGrun', 1), ('bogomil', 1), ('yurukov', 1), ('behrat', 1), ('Gr33nLight', 1), ('barbaraaliverti', 1), ('cameronjohnston', 1), ('EarthlyAlien', 1), ('c-m-a', 1), ('CommanderRoot', 1), ('Danielhiversen', 1), ('danielmatsuda', 1), ('hectorespert', 1), ('Kikof2', 1), ('kroeckx', 1), ('KyleARector', 1), ('leafoliage', 1), ('ascodeasice', 1), ('leonoverweel', 1), ('leorjorge', 1), ('Shriever', 1), ('LucBerge', 1), ('lucazdj', 1), ('ManuGirault', 1), ('mtanzi', 1), ('Garsdal', 1), ('grady-lad', 1), ('mhajder', 1), ('ShadowDLL', 1), ('xMcLOVINx', 1), ('DrFaust', 1), ('MaximeBaudette', 1), ('MeBart', 1), ('Anonymous', 1), ('miniksa', 1), ('mikkelsonnenschein', 1), ('MthatG', 1), ('helicopter-z', 1), ('sporadicus', 1), ('jacobbaratta', 1), ('jpierz', 1), ('jmetev1', 1), ('JRascagneres', 1), ('jiwidi', 1), ('jakedorne', 1), ('jac08h', 1), ('jbdietrich', 1), ('james-langridge', 1), ('jvarho', 1), ('beJels', 1), ('penkar', 1), ('jesserizzo', 1), ('jmunoz94', 1), ('Jironah', 1), ('jirihofman', 1), ('glaubitz', 1), ('gaggle', 1), ('Jonmcd1', 1), ('kkstrk', 1), ('katrinleinweber', 1), ('kevindqc', 1)","('corradio', 1760), ('VIKTORVAV99', 416), ('dependabotbot', 297), ('madsnedergaard', 213), ('systemcatch', 154), ('tonypls', 143), ('unitrium', 121), ('pierresegonne', 113), ('electricitymapsbot', 99), ('alixunderplatz', 83), ('nessie2013', 71), ('FelixDQ', 68), ('fbarl', 67), ('maxbellec', 60), ('tmrow-bot', 57), ('skovhus', 56), ('magol', 54), ('brunolajoie', 52), ('jarek', 52), ('q--', 49), ('Raffox97', 45), ('BLACKLEG', 42), ('KabelWlan', 42), ('silkeholmebonnen', 41), ('jkopb', 36), ('lorrieq', 28), ('ovbm', 28), ('veqtrus', 28), ('amv213', 23), ('silimotion', 17), ('wobniarin', 16), ('kruschk', 15), ('PaulCornelissen', 15), ('robertahunt', 15), ('brandongalbraith', 14), ('ThierryOllivero', 13), ('pnook', 13), ('yuvalabou', 13), ('phiphou', 13), ('Manu1400', 13), ('shuuji3', 12), ('tmslaine', 12), ('wojciej', 12), ('yujia21', 12), ('florianscheidl', 12), ('Musketeiro', 10), ('ajoga', 10), ('PPsyrius', 10), ('msaynevirta', 10), ('wrma6', 10), ('Bohne13', 10), ('IV1T3', 9), ('Fred-3000', 9), ('Gazer75', 9), ('qyearsley', 9), ('willbeaufoy', 9), ('martindaniel4', 8), ('gianantoniopini', 8), ('denplis', 7), ('steren', 7), ('Kongkille', 6), ('tth4vb', 6), ('MuffinCompiler', 6), ('Macquaria', 6), ('scriptator', 6), ('Ugzuzg', 6), ('dougfabris', 6), ('martincollignon', 5), ('haraldgroven', 5), ('lav-julien', 5), ('igorarduin', 5), ('drc38', 5), ('autipial', 5), ('saurabhchatterjee23', 5), ('RolandSzep', 5), ('alexanmtz', 5), ('gwpicard', 5), ('Liang', 5), ('JosepRey', 5), ('hboisgibault', 4), ('snarfed', 4), ('xomanuel', 4), ('pascalheraud', 4), ('Varmin123', 4), ('Ankitchaudharyy', 4), ('byronwilliams', 4), ('con-cat', 4), ('felixvanoost', 4), ('JeanBaptisteScellier', 4), ('mikkelrev22', 4), ('MariusKroon', 4), ('scarlac', 4), ('oskarhinc', 4), ('PETILLON-Sebastien', 4), ('7hibault', 3), ('lgrigoryeva1', 3), ('neilfulwiler', 3), ('nboswell216', 3), ('simon04', 3), ('typicalTYLER', 3), ('chiefymuc', 3), ('ewoken', 3), ('comready', 3), ('CeleminHero', 3), ('piotrek124-1', 3), ('AlexandreCouderc', 3), ('anirudh-ramesh', 3), ('kant', 3), ('dhilbig', 3), ('filipc', 3), ('MisterClean', 3), ('cieciurm', 3), ('mlucchini', 3), ('gugacavalieri', 3), ('jayaddison', 3), ('IanvsPoplicola', 3), ('khumam', 3), ('r24mille', 2), ('Rodeobe', 2), ('hybridcattt', 2), ('icfly2', 2), ('RGarrido03', 2), ('sahitya-pavurala', 2), ('seba1337', 2), ('BStephenBB', 2), ('Subarna578', 2), ('SunweiWang', 2), ('thtomate', 2), ('clawfire', 2), ('zuron7', 2), ('waltonzt', 2), ('admetny', 2), ('chuqtas', 2), ('gadakast', 2), ('luuu-xu', 2), ('martynas-sm', 2), ('peterpoetzi', 2), ('nikkozzblu', 2), ('scottlee120', 2), ('tobiasseidel', 2), ('ymin2570', 2), ('stefanb', 2), ('rolanddosa', 2), ('amkozlov', 2), ('annaib00', 2), ('BrianCraig', 2), ('wsxqaza12', 2), ('gnzng', 2), ('DavidKarlas', 2), ('EricSmekens', 2), ('steinwinde', 2), ('GitMatze', 2), ('hisa-shimoji', 2), ('IgorYbema', 2), ('Barissa-Imran', 2), ('Chopinsky', 2), ('jamesg-the-dev', 2), ('PatriciaGolianova', 2), ('peterhughgriffin', 2), ('ilfrich', 2), ('pjakobsen', 2), ('Impelon', 2), ('AlisCode', 2), ('nikBeier', 2), ('nicolasca', 2), ('meiyiniu', 2), ('Maverick78de', 2), ('sin', 2), ('mzaharie', 2), ('Kazz47', 2), ('Spydarlee', 2), ('jasonblais', 2), ('ShahneRodgers', 1), ('sebastianlay', 1), ('sdague', 1), ('SaumyaBhushan', 1), ('superlopuh', 1), ('SNPerkin', 1), ('samotion2', 1), ('RobertH-prog', 1), ('ric2b', 1), ('onmax', 1), ('Situphen', 1), ('Spanni26', 1), ('daiste', 1), ('tasinttttttt', 1), ('Teniola-theDev', 1), ('phanthe1', 1), ('ThomasF34', 1), ('tomi44g', 1), ('Dh0th', 1), ('timtroendle', 1), ('DerTimonius', 1), ('Vaikevimbu', 1), ('keaston', 1), ('nathantau', 1), ('nickvallee', 1), ('nickwohnhas', 1), ('Nico1320', 1), ('Nil-Cipher', 1), ('Ogaday', 1), ('OlgaCh', 1), ('Kineolyan', 1), ('Rprojet', 1), ('olivierSemet', 1), ('oscarmrom', 1), ('paulstrobel', 1), ('MindFreeze', 1), ('petrpulc', 1), ('phillipnunes', 1), ('kepiej', 1), ('r-petes', 1), ('rbossler', 1), ('dinossaur23', 1), ('rasmusjeppsen', 1), ('reuvab', 1), ('lesspointless', 1), ('lin0110', 1), ('marciska', 1), ('marcodeanda', 1), ('mfecco', 1), ('mickm', 1), ('mmcgarr', 1), ('mrSeoD', 1), ('mueslo', 1), ('MuneerahAsqah', 1), ('mutantmonkey', 1), ('hoanglongtran', 1), ('niky8804', 1), ('nilsernst', 1), ('omahs', 1), ('purplepaste5', 1), ('qalbun-salim', 1), ('smyru', 1), ('tjperr', 1), ('ttmx', 1), ('xiaotia3', 1), ('yeongseokyun', 1), ('TjasaZil', 1), ('UglySoftware', 1), ('vestronv', 1), ('tgy', 1), ('vamsi963601', 1), ('veronicaguo', 1), ('victormachadogp', 1), ('vladimirmak02', 1), ('liuyifei17', 1), ('ZhipengXue97', 1), ('andiz2', 1), ('calucido', 1), ('charwebb', 1), ('daniel-callejas-sevilla', 1), ('darryl-revok', 1), ('dogversioning', 1), ('dpkruczek', 1), ('eitreb', 1), ('el97', 1), ('eoinbutler', 1), ('hms5232', 1), ('intermittentnrg', 1), ('j-jayes', 1), ('jhertel', 1), ('joppiesaus', 1), ('vakili', 1), ('danijelst', 1), ('Darkvyl', 1), ('davidcole1340', 1), ('DeOldSax', 1), ('TheClearSky', 1), ('kommen', 1), ('metakermit', 1), ('E1Cattivo', 1), ('Raader', 1), ('steppefox', 1), ('elisezhg', 1), ('PmplCode', 1), ('emmanuel-ferdman', 1), ('consideRatio', 1), ('Fastaxx', 1), ('fokion', 1), ('Frantisek12', 1), ('jumpout-boiz', 1), ('gapple', 1), ('GeoffreyFrogeye', 1), ('gianpispi', 1), ('gdrosos', 1), ('gopikrishna1793', 1), ('aemartinez', 1), ('aelbozie', 1), ('albertopasqualetto', 1), ('Bostwickenator', 1), ('Alportan', 1), ('masquel', 1), ('devmount', 1), ('AndBerna', 1), ('AntoineMurat', 1), ('aekrylov', 1), ('AyrtonB', 1), ('BobGrun', 1), ('bogomil', 1), ('yurukov', 1), ('behrat', 1), ('Gr33nLight', 1), ('barbaraaliverti', 1), ('cameronjohnston', 1), ('EarthlyAlien', 1), ('c-m-a', 1), ('CommanderRoot', 1), ('Danielhiversen', 1), ('danielmatsuda', 1), ('hectorespert', 1), ('Kikof2', 1), ('kroeckx', 1), ('KyleARector', 1), ('leafoliage', 1), ('ascodeasice', 1), ('leonoverweel', 1), ('leorjorge', 1), ('Shriever', 1), ('LucBerge', 1), ('lucazdj', 1), ('ManuGirault', 1), ('mtanzi', 1), ('Garsdal', 1), ('grady-lad', 1), ('mhajder', 1), ('ShadowDLL', 1), ('xMcLOVINx', 1), ('DrFaust', 1), ('MaximeBaudette', 1), ('MeBart', 1), ('miniksa', 1), ('mikkelsonnenschein', 1), ('MthatG', 1), ('helicopter-z', 1), ('sporadicus', 1), ('jacobbaratta', 1), ('jpierz', 1), ('jmetev1', 1), ('JRascagneres', 1), ('jiwidi', 1), ('jakedorne', 1), ('jac08h', 1), ('jbdietrich', 1), ('james-langridge', 1), ('jvarho', 1), ('beJels', 1), ('penkar', 1), ('jesserizzo', 1), ('jmunoz94', 1), ('Jironah', 1), ('jirihofman', 1), ('glaubitz', 1), ('gaggle', 1), ('Jonmcd1', 1), ('kkstrk', 1), ('katrinleinweber', 1), ('kevindqc', 1)","('corradio', 1760), ('VIKTORVAV99', 416)",5481,319,6566,61,4130,61,"[7, 'Affordable and Clean Energy']"
